diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
332,2025-10-01,3.6207,6.4,,8.9,Y,,RECTAL RESECTION WITH MCC
333,2025-10-01,2.3422,3.5,,4.5,Y,,RECTAL RESECTION WITH CC
334,2025-10-01,1.6379,2.2,,2.6,Y,,RECTAL RESECTION WITHOUT C
335,2025-10-01,3.5709,8.6,,10.7,Y,,PERITONEAL ADHESIOLYSIS WI
336,2025-10-01,2.1087,5.1,,6.4,Y,,PERITONEAL ADHESIOLYSIS WI
337,2025-10-01,1.5350,3.0,,3.8,Y,,PERITONEAL ADHESIOLYSIS WI
344,2025-10-01,2.5828,6.9,,9.2,,,MINOR SMALL AND LARGE BOWE
345,2025-10-01,1.5047,4.0,,5.2,,,MINOR SMALL AND LARGE BOWE
346,2025-10-01,1.1862,2.6,,3.1,,,MINOR SMALL AND LARGE BOWE
347,2025-10-01,2.2956,5.5,,7.3,,,ANAL AND STOMAL PROCEDURES
348,2025-10-01,1.3088,3.1,,4.0,,,ANAL AND STOMAL PROCEDURES
349,2025-10-01,0.8706,1.7,,2.0,,,ANAL AND STOMAL PROCEDURES
350,2025-10-01,2.4919,4.8,,6.4,,,INGUINAL AND FEMORAL HERNI
351,2025-10-01,1.5245,2.9,,3.6,,,INGUINAL AND FEMORAL HERNI
352,2025-10-01,1.1678,1.9,,2.2,,,INGUINAL AND FEMORAL HERNI
353,2025-10-01,2.9020,5.7,,7.7,,,HERNIA PROCEDURES EXCEPT I
354,2025-10-01,1.6824,3.1,,4.0,,,HERNIA PROCEDURES EXCEPT I
355,2025-10-01,1.3450,1.8,,2.2,,,HERNIA PROCEDURES EXCEPT I
356,2025-10-01,4.3928,7.6,,10.2,Y,,OTHER DIGESTIVE SYSTEM O.R
357,2025-10-01,2.3255,4.4,,5.7,Y,,OTHER DIGESTIVE SYSTEM O.R
358,2025-10-01,1.3979,2.5,,3.2,Y,,OTHER DIGESTIVE SYSTEM O.R
359,2025-10-01,3.4386,3.8,,5.3,,,PERCUTANEOUS CORONARY ATHE
360,2025-10-01,2.4143,2.2,,2.6,,,PERCUTANEOUS CORONARY ATHE
368,2025-10-01,1.5919,4.0,,5.3,,,MAJOR ESOPHAGEAL DISORDERS
369,2025-10-01,1.0002,2.9,,3.5,,,MAJOR ESOPHAGEAL DISORDERS
370,2025-10-01,0.7008,2.1,,2.6,,,MAJOR ESOPHAGEAL DISORDERS
371,2025-10-01,1.7731,5.2,,6.9,Y,,MAJOR GASTROINTESTINAL DIS
372,2025-10-01,1.0210,3.6,,4.4,Y,,MAJOR GASTROINTESTINAL DIS
373,2025-10-01,0.7274,2.7,,3.3,Y,,MAJOR GASTROINTESTINAL DIS
374,2025-10-01,2.1387,5.5,,7.6,Y,,DIGESTIVE MALIGNANCY WITH
375,2025-10-01,1.2096,3.5,,4.5,Y,,DIGESTIVE MALIGNANCY WITH
376,2025-10-01,0.9243,2.3,,3.0,Y,,DIGESTIVE MALIGNANCY WITHO
